Date,Open,High,Low,Close,Volume
2021-01-01,500.79432171140974,508.56353751973126,493.37148097458055,504.10986328125,70291
2021-01-04,508.90993762131,511.6811192223062,501.3881201568163,504.1593017578125,110923
2021-01-05,503.7634294750139,515.6399739813011,500.0025357961355,511.97802734375,87421
2021-01-06,514.0564942293233,522.1720852076274,500.6458770131985,506.7820739746094,91171
2021-01-07,509.20682517400047,521.2813236832841,507.3758821326698,516.332763671875,98019
2021-01-08,518.8070691221558,522.5679628338322,505.69338444876894,507.12847900390625,75547
2021-01-11,509.6027833003538,513.2646697362858,501.78403356514394,504.4562683105469,50295
2021-01-12,501.7840673635632,513.6606133366654,501.7840673635632,509.55328369140625,42311
2021-01-13,511.58220041299234,511.58220041299234,498.0726063026942,502.4768371582031,28990
2021-01-14,504.7036786324736,538.2548813254426,499.21075856039135,530.38671875,218343
2021-01-15,537.4136995333412,548.6964422499742,509.70175922591295,515.4420776367188,265486
2021-01-18,515.4420709419383,520.0937300860004,480.01038837623247,504.2088623046875,147174
2021-01-19,508.61315603371173,523.2608854422186,506.73267857142855,519.5989379882812,53771
2021-01-20,521.5782862852288,523.8546120756151,512.6708772215342,516.67919921875,29991
2021-01-21,516.6297641858052,520.5886129535126,505.0501194588137,508.7120666503906,40280
2021-01-22,516.6297587264523,523.5577439967304,502.8232617135221,505.3470458984375,72224
2021-01-25,508.8109663915702,522.5679887429617,500.1015119939674,517.470947265625,55027
2021-01-27,517.4709454852507,520.5885627520772,501.19019962021196,509.94915771484375,96976
2021-01-28,504.7531666151687,510.49348466385555,500.1015077041315,503.1201477050781,25133
2021-01-29,506.2872140781823,509.6522593904112,499.8046118866436,501.3386535644531,24396
2021-02-01,501.33866446964714,517.0256378837337,482.781562139506,513.2152099609375,129804
2021-02-02,512.6708814339777,519.5988663182205,499.80462379181216,502.5758056640625,52814
2021-02-03,504.75316359741083,511.1368186302362,500.0520311913565,501.4376220703125,48748
2021-02-04,504.7532416496033,516.6297885119469,501.8335784644956,514.947265625,87716
2021-02-05,515.1451143768518,564.1358601245062,509.998599711814,548.0530395507812,1157090
2021-02-08,559.1378462713686,578.6846596623784,539.3930783848265,545.4302978515625,406096
2021-02-09,554.2387306185683,569.0844109029941,545.7272314183884,548.1519775390625,152091
2021-02-10,552.160447320473,561.166803961905,544.5396514815183,557.4553833007812,88110
2021-02-11,556.2181430158944,578.3877159395608,550.4778255074959,574.032958984375,264873
2021-02-12,577.991789629316,590.8580452203795,561.6615421483507,585.5631103515625,376846
2021-02-15,590.8581068048508,638.7601952380192,584.9198343746513,615.4029541015625,1629379
2021-02-16,609.6132491983349,629.4569669718973,597.2913200747485,624.0135498046875,525443
2021-02-17,623.4196843853942,658.9503130116491,605.7038133928727,644.9459228515625,319767
2021-02-18,647.8655524306906,653.2100222300123,634.5539722731556,643.6098022460938,136869
2021-02-19,643.3127807140571,682.604358017576,643.3127807140571,652.863525390625,812699
2021-02-22,665.9277728766938,707.3472611625093,665.9277728766938,690.8685302734375,593065
2021-02-23,705.0213757270373,742.0366316662804,694.8273533887934,729.9126586914062,942827
2021-02-24,740.3047452907614,740.3047452907614,698.7368317851303,709.1782836914062,131341
2021-02-25,711.6030316903547,719.1248198234921,669.6392126127581,707.099853515625,396139
2021-02-26,693.7881529983775,725.3104578982505,691.8087288814064,696.8067626953125,143836
2021-03-01,698.0438833523897,717.5412224436844,697.3015993291721,710.0689086914062,147608
2021-03-02,714.3741513983367,719.6196132244036,686.3653122377796,707.4461669921875,104078
2021-03-03,703.6853355812327,716.4526464234488,699.2811044514924,705.7142333984375,87171
2021-03-04,705.565801137549,714.5721573512428,681.3178539698129,708.9307861328125,185489
2021-03-05,708.5350002762867,709.6236595520342,699.6770638531502,707.1988525390625,104582
2021-03-08,711.5040817937829,724.469286668258,694.7779224605425,719.4712524414062,97306
2021-03-09,717.5412586031022,795.9264674864321,717.5412586031022,749.1130981445312,426573
2021-03-10,751.1915171333635,791.7697150285782,747.2326685582207,781.4766845703125,160258
2021-03-12,783.8024554666371,836.0097651308442,767.0268244504367,825.7167358398438,291228
2021-03-15,831.2591923237937,897.569901059096,801.5678302035091,868.5712890625,371900
2021-03-16,870.9466955085076,908.0609012830179,827.5973152453269,837.9398193359375,190208
